tweet_id|text|date_id
132| acregiones  ivanduque  novoy no al turismo en leticia  colombia   quedateencasa  no busques lo que no se te ha perdido  novoy ¿o prefieres contagio     irresponsables   jrestrp  fonturcol  flaviasantorot    bog eldorado  onvacationofic  goberamazonas  policiamazonas  aerocivilcol https   t co |308
133| estamos realizando el estudio de una vacuna candidata de una sola dosis  tendremos  mil voluntarios en todo el mundo   dr  carlos alvarado  director médico américa latina norte de  janssenglobal en evento con  afidro colombia y  amchamcol sobre status vacunas del   |308
134|✅artículo de interés   eximentes de cumplimiento de obligaciones   ℹ️ ver artículo completo https   t co    legal  empresas  empresario  colombia  insolvencia    empresarial|308
135| la velocidad no puede sacrificar la seguridad de las vacunas y ustedes  la industria farmacéutica  ha sido muy clara en eso durante el desarrollo    doctorafernanda en el evento sobre el status actual de vacunas   junto a  afidro colombia y  amchamcol|308
136| jrestrp  novoy no al turismo en leticia  colombia   quedateencasa  no busques lo que no se te ha perdido  novoy ¿o prefieres contagio     irresponsables   jrestrp  fonturcol  flaviasantorot    bog eldorado  onvacationofic  goberamazonas  policiamazonas  aerocivilcol https   t co |308
137| no hay nada diferente en la  vacuna del   con las vacunas actuales  como las que usan los infantes y recién nacidos  vamos a tener productos muy seguros   dr  eduardo ortega vicepresidente médico vacunas  gsk en evento con  amchamcol y  afidro colombia|308
138|rt  moralesariasa  ✅artículo de interés   eximentes de cumplimiento de obligaciones   ℹ️ ver artículo completo https   t co    le|308
139| la protección a la propiedad intelectual permite incentivar la investigación y el trabajo con las autoridades sanitarias     rafaeldiaz g  director ejecutivo de  fifarmalatam en evento con  afidro colombia y  amchamcol sobre el status de las  vacunas contra el   |308
140| gran parte del adelanto de investigación en el   se debe a las investigaciones que ya se estaban realizando  basadas en la protección de la propiedad intelectual     rafaeldiaz g  director ejecutivo de  fifarmalatam en evento con  afidro colombia y  amchamcol|308
141| novaventa catg  y  avon colombia se disputan la distribución de la vacuna  en el país   donjediondo  actualidadpanam  tolaymaruja  alexandramonto  gabodelascasas  rabodeajip|308
142|el  se transmite por partículas  salivas  pero es pandemia mundial  colombia tiene otra  se llama  y se transmite por pedos  por ser  corrompida que se esconde   ivancepedacast  roybarreras  delacallehum  angelamrobledo  ivanduque  alvarouribevel  petrogustavo https   t co |308
143|¿quien me desmiente   ¡en colombia antes que iniciar procesos de vacunación contra   le descontarán  mil pesos al salario mínimo   ¡gobiernan los monstruos |308
144|el  se transmite por partículas  salivas  pero es pandemia mundial  colombia tiene otro  se llama  y se transmite por pedos  por ser  corrompido que se esconde   juanmansantos  timofarc  cesargavirian    alvarouribevel https   t co |308
145|rt  mafepachecoc   yorecomiendo conversatorio vacunas  status actual de vacunas 💉 para enfrentar el    afidro colombia  amchameu  fi|308
146|en colombia hay un cartel para todo y las vacunas para el  no van a ser la excepción |308
147|rt  overdoradoc  creo que el nivel que propone el  gobiernoilegitimo de  ivanduque y con usted  fruizgomez que en cabeza  minsaludcol es qu|308
148|    diciembre  colombia  pediatría   acumulamos    nuevos        recuperados        hospitalizados         uci         fallecidos        na     gráficas    casos niños  lt  y totales  fuente   inscolombia   medicinaunal  mi fucs https   t co haqeoamotg|308
149|    diciembre  colombia  pediatría  gráficas  de   casos fallecidos  atribuibles y no  na    casos uci y hospitalizados  fuente   inscolombia    acinnacional  amci colombia  scpediatriabta  socpediatria  zulmacucunuba  minsaludcol https   t co esureqzwln|308
150|    diciembre  colombia  pediatría  gráfica  de   casos diarios atención por edad  género  etnia y departamento fuente   inscolombia   https   t co |308
151|    diciembre  colombia  pediatría  gráficas  de   casos diarios bogotá  b quilla y atlántico  valle del cauca y antioquia  fuente   inscolombia   https   t co |308
152|    diciembre  colombia  pediatría  gráficas  de   atención por fechas de notificación  resultado y publicación  fuente   inscolombia   https   t co |308
153|    diciembre  colombia  pediatría  gráficas  de   tabla de tiempos  tiempos de síntomas y tiempo a resultados  fuente   inscolombia   https   t co |308
154|   medellín los habitantes de la capital antioqueña deben tener especial cuidado con las fiestas de este fin de año https   t co |308
155|rt  fifarmalatam   gran parte del adelanto de investigación en el   se debe a las investigaciones que ya se estaban realizando  basa|308
156| durante el año  esperamos vacunar a más de  millones de personas    apuntamos a que la vacunación sea por fases pero continua   leonardo arregocés  director de medicamentos del  minsaludcol en el evento  status vacunas    junto a  afidro colombia y  amchamcol|308
157|rt  pvasquezcolpicu      diciembre  colombia  pediatría   acumulamos    nuevos        recuperados        hospital|308
158|rt  pvasquezcolpicu      diciembre  colombia  pediatría  gráficas  de   casos fallecidos  atribuibles y no  na    casos uci y hos|308
159|casos de   en  américalatina y el caribe a las   gmt del  de diciembre región     brasil     argentina     colombia     méxico     perú    chile    ecuador    panamá    bolivia    rep  dom     https   t co |308
